Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
2.21875,41.199,30.171999999999997,14.679,14.870999999999999,1.2919999999999998,33.376,11.18,21.627,32.327,1.577,1,0,0,1,0,0
2.22265625,41.13399999999999,30.138,15.3,16.114,1.2919999999999998,33.376,11.18,21.625999999999998,32.327,1.577,1,0,0,1,0,0
2.2265625,41.06,30.104,15.3,17.926,1.2919999999999998,33.376,11.18,21.625999999999998,32.327,1.577,1,0,0,1,0,0
2.23046875,40.977,30.069000000000003,14.886,18.185,1.2919999999999998,33.376,11.179,21.625,32.327,1.5759999999999998,1,0,0,1,0,0
2.234375,40.884,30.035,14.264000000000001,17.253,1.2919999999999998,33.376,11.179,21.624000000000002,32.327,1.577,1,0,0,1,0,0
2.23828125,40.781,30.0,13.229000000000001,17.512,1.2919999999999998,33.376,11.177999999999999,21.624000000000002,32.327,1.577,1,0,0,1,0,0
2.2421875,40.669000000000004,29.965,11.83,24.504,1.2919999999999998,33.376,11.177,21.623,32.327,1.577,1,0,0,1,0,0
2.24609375,40.549,29.93,10.432,31.133000000000003,1.2919999999999998,33.376,11.177,21.623,32.327,1.5759999999999998,1,0,0,1,0,0
2.25,40.42,29.895,9.293,32.272,1.2919999999999998,33.376,11.175999999999998,21.622,32.327,1.5759999999999998,1,0,0,1,0,0
2.25390625,40.284,29.86,8.309,30.511,1.2919999999999998,33.376,11.175999999999998,21.622,32.327,1.577,1,0,0,1,0,0
2.2578125,40.143,29.826,7.635,28.44,1.2919999999999998,33.376,11.175,21.622,32.327,1.577,1,0,0,1,0,0
2.26171875,39.997,29.791,7.273,28.543000000000003,1.2919999999999998,33.376,11.174000000000001,21.622,32.327,1.577,1,0,0,1,0,0
2.265625,39.849000000000004,29.756999999999998,6.807,31.185,1.2919999999999998,33.376,11.174000000000001,21.622,32.328,1.5759999999999998,1,0,0,1,0,0
2.26953125,39.7,29.724,6.858,31.962,1.2919999999999998,33.376,11.173,21.622,32.328,1.5759999999999998,1,0,0,1,0,0
2.2734375,39.551,29.691,7.532,32.065,1.2919999999999998,33.376,11.172,21.622,32.328,1.5759999999999998,1,0,0,1,0,0
2.27734375,39.406,29.659000000000002,8.205,29.113000000000003,1.2919999999999998,33.376,11.171,21.622,32.328,1.5759999999999998,1,0,0,1,0,0
2.28125,39.264,29.628,8.412,25.54,1.291,33.376,11.171,21.623,32.328,1.577,1,0,0,1,0,0
2.28515625,39.128,29.598000000000003,8.878,26.42,1.291,33.376,11.17,21.623,32.328,1.5759999999999998,1,0,0,1,0,0
2.2890625,39.0,29.568,9.655,29.268,1.291,33.375,11.169,21.624000000000002,32.328,1.5759999999999998,1,0,0,1,0,0
2.29296875,38.879,29.54,9.81,31.599,1.291,33.375,11.168,21.625,32.328,1.5759999999999998,1,0,0,1,0,0
2.296875,38.766999999999996,29.511,9.5,29.631,1.291,33.375,11.167,21.625999999999998,32.328,1.5759999999999998,1,0,0,1,0,0
2.30078125,38.665,29.483,11.052999999999999,26.783,1.291,33.375,11.165999999999999,21.627,32.328,1.5759999999999998,1,0,0,1,0,0
2.3046875,38.571999999999996,29.456,14.73,27.767,1.291,33.375,11.165999999999999,21.628,32.328,1.5759999999999998,1,0,0,1,0,0
2.30859375,38.491,29.430999999999997,17.113,28.802,1.291,33.375,11.165,21.629,32.328,1.575,1,0,0,1,0,0
2.3125,38.419000000000004,29.409000000000002,17.215999999999998,30.77,1.291,33.375,11.164000000000001,21.63,32.328,1.575,1,0,0,1,0,0
2.31640625,38.359,29.391,17.113,30.408,1.291,33.375,11.163,21.631,32.328,1.5759999999999998,1,0,0,1,0,0
2.3203125,38.306999999999995,29.381,17.372,27.404,1.291,33.375,11.162,21.631999999999998,32.328,1.5759999999999998,1,0,0,1,0,0
2.32421875,38.265,29.38,18.045,23.416,1.291,33.375,11.161,21.633000000000003,32.328,1.5759999999999998,1,0,0,1,0,0
2.328125,38.23,29.393,18.408,20.516,1.291,33.375,11.16,21.634,32.328,1.575,1,0,0,1,0,0
2.33203125,38.2,29.421999999999997,17.579,19.221,1.291,33.375,11.159,21.635,32.328,1.575,1,0,0,1,0,0
2.3359375,38.176,29.471999999999998,16.44,17.512,1.291,33.375,11.158,21.636,32.328,1.5759999999999998,1,0,0,1,0,0
2.33984375,38.155,29.545,15.248,15.7,1.291,33.375,11.157,21.636999999999997,32.328,1.5759999999999998,1,0,0,1,0,0
2.34375,38.137,29.646,13.798,14.145999999999999,1.291,33.375,11.155999999999999,21.638,32.328,1.575,1,0,0,1,0,0
2.34765625,38.119,29.776999999999997,12.659,13.524000000000001,1.291,33.375,11.155,21.638,32.328,1.575,1,0,0,1,0,0
2.3515625,38.102,29.939,11.882,17.098,1.291,33.375,11.154000000000002,21.639,32.328,1.575,1,0,0,1,0,0
2.35546875,38.084,30.134,10.898,19.325,1.291,33.375,11.152999999999999,21.639,32.328,1.575,1,0,0,1,0,0
2.359375,38.064,30.361,9.759,19.428,1.29,33.375,11.152000000000001,21.639,32.328,1.575,1,0,0,1,0,0
2.36328125,38.042,30.62,8.93,17.823,1.29,33.375,11.151,21.64,32.328,1.575,1,0,0,1,0,0
2.3671875,38.016999999999996,30.909000000000002,9.085,17.512,1.29,33.375,11.15,21.64,32.328,1.575,1,0,0,1,0,0
2.37109375,37.989000000000004,31.225,10.535,19.066,1.29,33.375,11.148,21.64,32.328,1.575,1,0,0,1,0,0
